Pace,Distance,Date
585.899,9.10708089793,2012-05-25
429.099,1.00956518458,2012-05-26
510.941,11.2232303027,2012-05-29
491.542,11.0614290889,2012-06-06
545.055,9.77589269603,2012-06-15
513.567,8.64355253137,2012-06-18
516.617,9.80168040495,2012-06-22
519.475,9.8110003501,2012-06-27
528.767,9.60108597086,2012-07-02
516.388,9.70173119018,2012-07-05
545.209,3.09590434436,2012-07-08
465.038,1.91666443155,2012-07-08
540.067,8.56556448137,2012-07-11
525.304,7.97988050473,2012-07-13
539.584,7.09210863765,2012-07-16
487.289,6.65515698261,2012-07-19
533.919,10.0509027517,2012-07-24
497.173,6.57756698798,2012-07-26
516.552,10.4290648277,2012-07-30
516.841,7.59798784434,2012-08-03
540.855,7.16191108182,2012-08-06
570.381,4.41041762784,2012-08-07
437.429,2.80385698591,2012-08-16
554.174,9.11128595009,2012-08-18
535.859,8.00817856877,2012-08-22
501.132,8.32624850066,2012-08-27
673.455,0.624745380804,2012-08-29
541.193,4.4032052437,2012-08-31
577.652,11.5563813204,2012-09-04
546.825,11.7018267235,2012-09-06
510.325,9.41134446896,2012-09-10
517.629,10.4099901567,2012-09-12
525.496,13.1427599036,2012-09-14
519.034,6.25851139519,2012-09-20
526.628,11.2911650853,2012-09-21
520.093,10.8097348894,2012-09-28
547.205,9.04148942936,2012-10-01
524.452,10.5528517539,2012-10-05
499.217,7.50291362312,2012-10-09
511.75,6.83597718707,2012-10-11
549.722,13.1353022889,2012-10-14
553.851,6.89908554835,2012-10-18
506.005,4.14351854265,2012-10-18
513.921,9.10612070783,2012-10-20
548.123,1.51393502395,2012-10-23
501.56,11.7502105902,2012-10-23
526.065,10.0074685138,2012-10-26
507.615,10.6031607397,2012-11-02
490.591,10.2481332625,2012-11-04
518.443,11.1252079839,2012-11-09
525.785,9.69598248879,2012-11-12
506.025,11.1987048795,2012-11-14
523.321,13.099659748,2012-11-18
524.481,9.50973344886,2012-11-22
513.079,8.00770647037,2012-11-26
512.902,13.2089437165,2012-11-30
514.638,12.0529198498,2012-12-03
535.106,5.68294288209,2012-12-15
525.557,9.0110530024,2012-12-21
512.478,7.25585096371,2012-12-24
522.542,9.1124736004,2012-12-27
510.139,9.00852902335,2013-01-09
469.211,1.87061188384,2013-01-10
494.516,11.5067997334,2013-01-12
522.753,9.76170249607,2013-01-14
499.823,7.06380879657,2013-02-01
495.886,8.31207310931,2013-02-04
498.306,7.61177347314,2013-02-11
497.816,9.10128954775,2013-02-14
517.069,11.7545583974,2013-02-24
528.175,6.76225638538,2013-03-04
510.636,10.1107117552,2013-03-07
527.301,13.130858522,2013-03-24
484.737,5.12622394917,2013-03-26
501.039,7.49196887757,2013-03-27
508.324,9.0535519286,2013-03-30
536.145,8.24725228067,2013-04-09
480.86,8.01319098621,2013-04-11
509.29,5.09515726788,2013-04-15
505.654,9.45047947191,2013-04-17
538.339,11.3476925015,2013-04-25
508.17,8.19185387274,2013-05-01
565.375,11.5125253334,2013-05-18
504.995,5.07878309451,2013-05-29
537.115,6.0386071294,2013-06-08
504.684,3.40221179938,2013-06-11
522.527,8.01287941311,2013-06-20
527.682,13.2017159314,2013-06-23
523.995,8.2067702868,2013-06-29
526.377,6.19956839899,2013-07-03
533.054,8.60103168843,2013-07-07
526.891,1.9030686491,2013-07-12
456.733,3.00377585133,2013-07-12
545.573,11.6053409458,2013-07-20
534.607,11.3006461481,2013-07-29
518.052,4.304286708,2013-08-17
556.738,8.00974650413,2013-08-29
522.941,11.1358832128,2013-09-05
522.752,8.9000737445,2013-09-06
503.804,4.09351283719,2013-09-18
565.911,12.5001232076,2013-09-20
508.397,10.0383367598,2013-09-23
502.16,6.50704010673,2013-10-01
492.071,3.23518462803,2013-10-06
516.524,8.51320065327,2013-10-21
492.501,6.12045667186,2013-10-28
493.885,5.30283791678,2013-10-31
507.958,11.5127622711,2013-11-04
516.166,7.40521946309,2013-11-06
506.131,6.51834085121,2013-11-11
518.067,13.099659748,2013-11-17
506.571,10.3081768344,2013-11-23
528.186,10.402281388,2013-12-04
530.279,8.70025113503,2013-12-13
563.414,8.2169775637,2013-12-31
537.148,2.40614828856,2014-01-10
494.939,1.4107646409,2014-01-12
545.908,10.8077327657,2014-01-17
533.963,9.54322163363,2014-01-20
527.359,12.4013024087,2014-01-27
530.421,7.30202360923,2014-01-31
520.432,11.4987710988,2014-02-23
490.897,2.3070145838,2014-03-05
590.268,9.33521578771,2014-03-09
526.092,1.20616988366,2014-03-10
488.851,5.00604143794,2014-03-14
482.439,2.30406085897,2014-03-20
478.937,8.11120619685,2014-03-27
525.165,8.50377171676,2014-04-02
514.642,7.75184039003,2014-04-05
518.361,5.49973197605,2014-04-08
503.025,6.6266160574,2014-04-12
